Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Everything In My Heart,Corey Hart ,1985-12-14,30,15,
How Will I Know,Whitney Houston ,1985-12-14,1,24,
The Sun Always Shines on T.V.,A-Ha ,1985-12-14,20,17,
Life In A Northern Town,The Dream Academy ,1985-12-14,7,21,
Living In America,James Brown ,1985-12-14,4,19,
Leader Of The Pack,Twisted Sister ,1985-12-14,53,10,
Go,Asia ,1985-12-14,46,11,
Digital Display,Ready For The World ,1985-12-14,21,18,
One Vision,Queen ,1985-12-14,61,10,
Day By Day,Hooters ,1985-12-14,18,18,
Somewhere (From West Side Story),Barbra Streisand ,1985-12-14,43,14,
I Knew The Bride (When She Use To Rock N Roll),Nick Lowe ,1985-12-14,77,9,
The Heart Is Not So Smart,El DeBarge With DeBarge ,1985-12-14,75,7,
Caravan Of Love,Isley/Jasper/Isley ,1985-12-14,51,14,
Secret,O.M.D. ,1985-12-14,63,13,
Don t Say No Tonight,Eugene Wilde ,1985-12-14,76,10,
Beat s So Lonely,Charlie Sexton ,1985-12-14,17,20,
He ll Never Love You (Like I Do),Freddie Jackson ,1985-12-14,25,15,
Sounds Of Your Voice,Jon Butcher Axis ,1985-12-14,94,3,
Chain Reaction,Diana Ross ,1985-12-14,66,11,
Kyrie,Mr. Mister ,1985-12-21,1,20,
Stacy,Fortune ,1985-12-21,80,6,
Baby Talk,Alisha ,1985-12-21,68,17,
Own The Night,Chaka Khan ,1985-12-21,57,9,
Sara,Starship ,1985-12-28,1,20,
Secret Lovers,Atlantic Starr ,1985-12-28,3,23,
Let s Go All The Way,Sly Fox ,1985-12-28,7,25,
Good Friends,Joni Mitchell ,1985-12-28,85,3,
Let Me Down Easy,Roger Daltrey ,1985-12-28,86,4,
Strength,The Alarm ,1985-12-28,61,10,
King For A Day,Thompson Twins ,1986-02-01,8,16,
These Dreams,Heart ,1986-02-01,1,20,
Russians,Sting ,1986-02-01,16,13,
Stages,ZZ Top ,1986-02-01,21,12,
Nikita,Elton John ,1986-02-01,7,18,
This Could Be The Night,Loverboy ,1986-02-01,10,18,
Sanctify Yourself,Simple Minds ,1986-02-01,14,14,
Another Night,Aretha Franklin ,1986-02-01,22,14,
R.O.C.K. In The U.S.A. (A Salute to 60 s Rock),John Mellencamp ,1986-02-01,2,17,
(How To Be A) Millionaire,ABC ,1986-02-01,20,14,
The Super Bowl Shuffle,Chicago Bears Shufflin Crew ,1986-02-01,41,9,
Night Moves,Marilyn Martin ,1986-02-01,28,18,
What You Need,INXS ,1986-02-01,5,20,
Goodbye Is Forever,Arcadia ,1986-02-01,33,10,
No Easy Way Out,Robert Tepper ,1986-02-01,22,16,
Bop,Dan Seals ,1986-02-01,42,15,
Needles And Pins,Tom Petty ,1986-02-01,37,9,
Manic Monday,Bangles ,1986-02-01,2,20,
Do Me Baby,Meli sa Morgan ,1986-02-01,46,14,
I m Not The One,The Cars ,1986-02-01,32,11,
Live Is Life,Opus ,1986-02-01,32,16,
Pleasure And Pain,Divinyls ,1986-02-01,76,7,
Tender Love,Force M.D. s ,1986-02-01,10,19,
Just Another Day,Oingo Boingo ,1986-02-01,85,4,
Calling America,Electric Light Orchestra ,1986-02-01,18,15,
I d Do It All Again,Sam Harris ,1986-02-01,52,9,
Prove Me Wrong,David Pack ,1986-02-01,95,3,
Lying,Peter Frampton ,1986-02-01,74,8,
Life s What You Make It,Talk Talk ,1986-02-01,90,4,
Your Personal Touch,"Evelyn ""Champagne"" King ",1986-02-01,86,4,
Rock Me Amadeus,Falco ,1986-02-08,1,17,
Addicted To Love,Robert Palmer ,1986-02-08,1,22,
I Like You,Phyllis Nelson ,1986-02-08,61,11,
No Frills Love,Jennifer Holliday ,1986-02-08,87,3,
The Power Of Love,Jennifer Rush ,1986-02-08,57,13,
Jimmy Mack,Sheena Easton ,1986-02-08,65,6,
Let Me Be The One,Five Star ,1986-02-08,59,9,
I Need You,Maurice White ,1986-02-08,95,1,
Wood Beez (Pray Like Aretha Franklin),Scritti Politti ,1986-02-08,91,4,
Le Bel Age (The Best Years),Pat Benatar ,1986-02-15,54,8,
Something About You,Level 42 ,1986-02-15,7,27,
Stereotomy,The Alan Parsons Project ,1986-02-15,82,4,
It s All Right (Baby s Coming Back),Eurythmics ,1986-02-15,78,6,
All The Kings Horses,The Firm ,1986-02-15,61,8,
Your Love,The Outfield ,1986-02-15,6,22,
Saturday Love,Cherrelle With Alexander O Neal ,1986-02-15,26,17,
One Sunny Day (From Quicksilver),"Ray Parker,Jr. ",1986-02-15,96,3,
The Men All Pause,Klymaxx ,1986-02-15,80,8,
In Between Days,The Cure ,1986-02-15,99,1,
Kiss,Prince And The Revolution ,1986-02-22,1,20,
I Can t Wait,Stevie Nicks ,1986-02-22,16,13,
I Think It s Love,Jermaine Jackson ,1986-02-22,16,15,
Overjoyed,Stevie Wonder ,1986-02-22,24,13,
In My Dreams,Dokken ,1986-02-22,77,7,
A Little Bit Of Love (Is All It Takes),New Edition ,1986-02-22,38,15,
What Have You Done For Me Lately,Janet Jackson ,1986-02-22,4,21,
West End Girls,Pet Shop Boys ,1986-04-05,1,20,
Harlem Shuffle,The Rolling Stones ,1986-04-05,5,13,
Why Can t This Be Love,Van Halen ,1986-04-05,3,16,
So Far Away,Dire Straits ,1986-04-05,19,14,
American Storm,Bob Seger ,1986-04-05,13,14,
Take Me Home,Phil Collins ,1986-04-05,7,16,
Bad Boy,Miami Sound Machine ,1986-04-05,8,19,
If You Leave,Orchestral Manoeuvres In The Dark ,1986-04-05,4,20,
For America,Jackson Browne ,1986-04-05,30,12,
I Do What I Do... (Theme For 9 1/2 Weeks),John Taylor ,1986-04-05,23,12,
I Can t Wait,Nu Shooz ,1986-04-05,3,23,
Greatest Love Of All,Whitney Houston ,1986-04-05,1,20,
Great Gosh A Mighty (Down ,Little Richard ,1986-04-05,42,10,
All I Need Is A Miracle,Mike ,1986-04-05,5,19,
Is It Love,Mr. Mister ,1986-04-05,8,17,
Rough Boy,ZZ Top ,1986-04-05,22,13,
Stick Around,Julian Lennon ,1986-04-05,32,13,
Never As Good As The First Time,Sade ,1986-04-05,20,12,
Feel It Again,Honeymoon Suite ,1986-04-05,34,16,
On My Own,Patti LaBelle ,1986-04-05,1,23,
Restless,Starpoint ,1986-04-05,46,12,
Right Between The Eyes,Wax ,1986-04-05,43,13,
Call Me,Dennis De Young ,1986-04-05,54,11,
Move Away,Culture Club ,1986-04-05,12,14,
Tomorrow Doesn t Matter Tonight,Starship ,1986-04-05,26,13,
Your Smile,Rene ,1986-04-05,62,6,
A Good Heart,Feargal Sharkey ,1986-04-05,74,6,
Whisper In The Dark,Dionne Warwick ,1986-04-05,72,9,
I Engineer,Animotion ,1986-04-05,76,6,
Where Do The Children Go,Hooters ,1986-04-05,38,12,
Absolute Beginners,David Bowie ,1986-04-05,53,9,
Where Are You Now?,Jimmy Harnen With Synch ,1986-04-05,10,36,
All The Things She Said,Simple Minds ,1986-04-05,28,13,
Working Class Man,Jimmy Barnes ,1986-04-05,74,8,
Shot in the Dark,Ozzy Osbourne ,1986-04-05,68,9,
Is That It?,Katrina And The Waves ,1986-04-05,70,8,
Holding Back The Years,Simply Red ,1986-04-05,1,23,
Johnny Come Home,Fine Young Cannibals ,1986-04-05,76,5,
I Wanna Be A Cowboy,Boys Don t Cry ,1986-04-05,12,19,
Love And Rock And Roll,Greg Kihn ,1986-04-05,92,5,
Now And Forever (You And Me),Anne Murray ,1986-04-05,92,6,
I Found Someone,Laura Branigan ,1986-04-05,90,6,
Heart s On Fire,John Cafferty ,1986-04-05,76,6,
Live To Tell,Madonna ,1986-04-19,1,18,
Be Good To Yourself,Journey ,1986-04-19,9,15,
Mothers Talk,Tears For Fears ,1986-04-19,27,12,
No One Is To Blame,Howard Jones ,1986-04-19,4,23,
There ll Be Sad Songs (To Make You Cry),Billy Ocean ,1986-04-19,1,21,
Crush On You,The Jets ,1986-04-19,3,20,
Nothin At All,Heart ,1986-04-19,10,16,
Pretty In Pink,Psychedelic Furs ,1986-04-19,41,11,
Hands Across America,Voices Of America ,1986-04-19,65,8,
Somebody Somewhere,Platinum Blonde ,1986-04-19,82,5,
Mutual Surrender (What A Wonderful World),Bourgeois Tagg ,1986-04-19,62,10,
Under The Influence,Vanity ,1986-04-19,56,7,
If You Were A Woman (And I Was A Man),Bonnie Tyler ,1986-04-19,77,6,
Living In The Background,Baltimora ,1986-04-19,87,4,
The Love Parade,The Dream Academy ,1986-04-19,36,11,
Once In A Lifetime,Talking Heads ,1986-04-19,91,4,
Tuff Enuff,The Fabulous Thunderbirds ,1986-04-19,10,19,
Your Wildest Dreams,The Moody Blues ,1986-04-19,9,21,
If Your Heart Isn t In It,Atlantic Starr ,1986-04-19,57,12,
A Different Corner,George Michael ,1986-04-26,7,16,
Rain On The Scarecrow,John Mellencamp ,1986-04-26,21,12,
Vienna Calling,Falco ,1986-04-26,18,14,
"Who s Johnny (""Short Circuit"" Theme)",El DeBarge ,1986-04-26,3,19,
Out Of Mind Out Of Sight,Models ,1986-04-26,37,13,
Innocent Eyes,Graham Nash ,1986-04-26,84,7,
"Say It, Say It",E.G. Daily ,1986-04-26,70,10,
Lead A Double Life,Loverboy ,1986-04-26,68,7,
Like No Other Night,Thirty Eight Special ,1986-05-31,14,16,
Like A Rock,Bob Seger ,1986-05-31,12,13,
Sledgehammer,Peter Gabriel ,1986-05-31,1,21,
When The Heart Rules The Mind,GTR ,1986-05-31,14,16,
Nasty,Janet Jackson ,1986-05-31,3,19,
Danger Zone,Kenny Loggins ,1986-05-31,2,21,
Invisible Touch,Genesis ,1986-05-31,1,17,
If She Knew What She Wants,Bangles ,1986-05-31,29,14,
One Hit (To The Body),The Rolling Stones ,1986-05-31,28,11,
Dreams,Van Halen ,1986-05-31,22,14,
Mountains,Prince And The Revolution ,1986-05-31,23,11,
Digging Your Scene,The Blow Monkeys ,1986-05-31,14,19,
"Love Touch (Theme From ""Legal Eagles"")",Rod Stewart ,1986-05-31,6,18,
The Heat Of Heat,Patti Austin ,1986-05-31,55,9,
I Must Be Dreaming,Giuffria ,1986-05-31,52,10,
Listen Like Thieves,INXS ,1986-05-31,54,9,
Don Quichotte,Magazine 60 ,1986-05-31,56,11,
Mad About You,Belinda Carlisle ,1986-05-31,3,21,
Has Anyone Ever Written Anything For You,Stevie Nicks ,1986-05-31,60,6,
The Finest,The S.O.S. Band ,1986-05-31,44,13,
Secret Separation,The Fixx ,1986-05-31,19,14,
Opportunities (Let s Make Lots Of Money),Pet Shop Boys ,1986-05-31,10,16,
Living On Video,Trans-X ,1986-05-31,61,12,
We Don t Have To Take Our Clothes Off,Jermaine Stewart ,1986-05-31,5,22,
You Should Be Mine (The Woo Woo Song),Jeffrey Osborne ,1986-05-31,13,19,
Fire With Fire,Wild Blue ,1986-05-31,71,6,
One Step Closer To You,Gavin Christopher ,1986-05-31,22,17,
Peter Gunn,The Art Of Noise Featuring Duane Eddy ,1986-05-31,50,11,
Headed For The Future,Neil Diamond ,1986-05-31,53,10,
Female Intuition,Mai Tai ,1986-05-31,71,7,
Divided Hearts,Kim Carnes ,1986-05-31,79,5,
I Want You,Animotion ,1986-05-31,84,4,
Take It Easy,Andy Taylor ,1986-05-31,24,17,
Vanity Kills,ABC ,1986-05-31,91,4,
Karen,B.E. Taylor Group ,1986-05-31,94,2,
I Still Want You,The Del Fuegos ,1986-05-31,87,4,
"Modern Woman (From ""Ruthless People"")",Billy Joel ,1986-06-14,10,15,
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera ,1986-06-14,1,21,
All The Love In The World,The Outfield ,1986-06-14,19,16,
Hyperactive,Robert Palmer ,1986-06-14,33,12,
School s Out,Krokus ,1986-06-14,67,7,
"Sweet Freedom (Theme From ""Running Scared"")",Michael McDonald ,1986-06-14,7,20,
Higher Love,Steve Winwood ,1986-06-14,1,22,
Rumors,Timex Social Club ,1986-06-14,8,19,
Jungle Boy,John Eddie ,1986-06-14,52,10,
Voice Of America s Sons,John Cafferty ,1986-06-14,62,8,
With You All The Way,New Edition ,1986-06-14,51,11,
In The Shape Of A Heart,Jackson Browne ,1986-06-14,70,7,
One Way Love,TKA ,1986-06-14,75,9,
Words Get In The Way,Miami Sound Machine ,1986-06-14,5,24,
The Best Of Me,David Foster And Olivia Newton-John ,1986-06-14,80,8,
Land Of La La,Stevie Wonder ,1986-06-14,86,3,
Feel The Heat,Jean Beauvoir ,1986-06-14,73,8,
Hanging On A Heart Attack,Device ,1986-06-14,35,14,
Stay True,Sly Fox ,1986-06-14,94,2,
Headlines,Midnight Star ,1986-06-14,69,7,
Suzanne,Journey ,1986-06-21,17,13,
A Kind Of Magic,Queen ,1986-06-21,42,11,
Baby Love,Regina ,1986-06-21,10,20,
Touch And Go,"Emerson, Lake ",1986-06-21,60,8,
You Don t Have To Cry,Rene ,1986-06-21,75,7,
"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin ,1986-06-21,1,21,
Papa Don t Preach,Madonna ,1986-06-28,1,18,
Rumbleseat,John Mellencamp ,1986-06-28,28,13,
Taken In,Mike ,1986-06-28,32,15,
If Anybody Had A Heart,John Waite ,1986-06-28,76,6,
Venus,Bananarama ,1986-06-28,1,19,
Rock N Roll To The Rescue,The Beach Boys ,1986-06-28,68,6,
Victory Line,Limited Warranty ,1986-06-28,79,8,
The Captain Of Her Heart,Double ,1986-06-28,16,18,
This Is The Time,Dennis De Young ,1986-06-28,93,3,
I Wouldn t Lie,Yarbrough ,1986-06-28,93,4,
Dancing On The Ceiling,Lionel Richie ,1986-09-06,2,17,
Friends And Lovers,Carl Anderson ,1986-09-06,2,21,
Stuck With You,Huey Lewis ,1986-09-06,1,19,
Walk This Way,Run-D.M.C. ,1986-09-06,4,16,
Don t Forget Me (When I m Gone),Glass Tiger ,1986-09-06,2,24,
Dreamtime,Daryl Hall ,1986-09-06,5,15,
Love Zone,Billy Ocean ,1986-09-06,10,16,
"Man Size Love (From ""Running Scared"")",Klymaxx ,1986-09-06,15,15,
Yankee Rose,David Lee Roth ,1986-09-06,16,15,
Two Of Hearts,Stacey Q ,1986-09-06,3,22,
"That Was Then, This Is Now",The Monkees ,1986-09-06,20,14,
When I Think Of You,Janet Jackson ,1986-09-06,1,19,
Throwing It All Away,Genesis ,1986-09-06,4,16,
Press,Paul McCartney ,1986-09-06,21,11,
Missionary Man,Eurythmics ,1986-09-06,14,16,
"Oh, People",Patti LaBelle ,1986-09-06,29,12,
Heaven In Your Eyes,Loverboy ,1986-09-06,12,17,
All Cried Out,Lisa Lisa ,1986-09-06,8,25,
Love Walks In,Van Halen ,1986-09-06,22,15,
Money$ Too Tight (To Mention),Simply Red ,1986-09-06,28,15,
Velcro Fly,ZZ Top ,1986-09-06,35,12,
Heartbeat,Don Johnson ,1986-09-06,5,15,
A Matter Of Trust,Billy Joel ,1986-09-06,10,18,
The Edge Of Heaven,Wham! ,1986-09-06,10,13,
Typical Male,Tina Turner ,1986-09-06,2,16,
Point Of No Return,Nu Shooz ,1986-09-06,28,22,
Sweet Love,Anita Baker ,1986-09-06,8,22,
I Didn t Mean To Turn You On,Robert Palmer ,1986-09-06,2,21,
True Colors,Cyndi Lauper ,1986-09-06,1,20,
Private Number,The Jets ,1986-09-06,47,11,
Love Always,El DeBarge ,1986-09-06,43,12,
"Earth Angel (From ""The Karate Kid Part II"")",New Edition ,1986-09-06,21,14,
Somebody Like You,Thirty Eight Special ,1986-09-06,48,12,
Ruthless People,Mick Jagger ,1986-09-06,51,8,
Ain t Nothin Goin On But The Rent,Gwen Guthrie ,1986-09-06,42,13,
"So Far So Good (From ""About Last Night"")",Sheena Easton ,1986-09-06,43,12,
Wrap It Up,The Fabulous Thunderbirds ,1986-09-06,50,10,
What Does It Take,Honeymoon Suite ,1986-09-06,52,16,
You Can Call Me Al,Paul Simon ,1986-09-06,23,29,
It s You,Bob Seger ,1986-09-06,52,9,
Nothing In Common,Thompson Twins ,1986-09-06,54,10,
Girl Can t Help It,Journey ,1986-09-06,17,14,
Paranoimia,Art Of Noise With Max Headroom ,1986-09-06,34,12,
Take Me Home Tonight,Eddie Money ,1986-09-06,4,23,
Playing With The Boys,Kenny Loggins ,1986-09-06,60,12,
The Other Side Of Life,The Moody Blues ,1986-09-06,58,9,
"In Your Eyes (Theme From ""Say Anything"")",Peter Gabriel ,1986-09-06,26,28,
I ll Be Over You,Toto ,1986-09-06,11,22,
Another Heartache,Rod Stewart ,1986-09-06,52,9,
Spirit In The Sky,Doctor And The Medics ,1986-09-06,69,11,
Every Little Kiss,Bruce Hornsby ,1986-09-06,14,24,
Give Me The Reason,Luther Vandross ,1986-09-06,57,11,
Lonely Is The Night,Air Supply ,1986-09-06,76,8,
Love Of A Lifetime,Chaka Khan ,1986-09-06,53,12,
Love Comes Quickly,Pet Shop Boys ,1986-09-06,62,8,
Somebody s Out There,Triumph ,1986-09-06,27,15,
Anotherloverholenyohead,Prince And The Revolution ,1986-09-06,63,10,
The Hunter,GTR ,1986-09-06,85,6,
Emotion In Motion,Ric Ocasek ,1986-09-06,15,19,
"Walk Like A Man (From ""A Fine Mess"")",Mary Jane Girls ,1986-09-06,41,10,
Wild Wild Life,Talking Heads ,1986-09-06,25,21,
Eye Of The Zombie,John Fogerty ,1986-09-06,81,4,
Angel In My Pocket,One To One ,1986-09-06,92,4,
You Give Love A Bad Name,Bon Jovi ,1986-09-06,1,24,
If Looks Could Kill,Heart ,1986-09-06,54,9,
Walk Away Renee,Southside Johnny ,1986-09-06,98,5,
Human,The Human League ,1986-09-13,1,20,
Word Up,Cameo ,1986-09-13,6,21,
Can t Wait Another Minute,Five Star ,1986-09-13,41,14,
The Rain,Oran Juice Jones ,1986-09-13,9,18,
I Am By Your Side,Corey Hart ,1986-09-20,18,13,
The Next Time I Fall,Peter Cetera With Amy Grant ,1986-09-20,1,21,
Jody,Jermaine Stewart ,1986-09-20,42,9,
What About Love,Til Tuesday ,1986-09-20,26,14,
Everytime You Cry,The Outfield ,1986-09-20,66,10,
The Way It Is,Bruce Hornsby ,1986-09-20,1,21,
Midas Touch,Midnight Star ,1986-09-20,42,14,
I Feel The Magic,Belinda Carlisle ,1986-09-20,82,5,
Runaway,Luis Cardenas ,1986-09-20,83,5,
California Dreamin ,The Beach Boys ,1986-09-20,57,10,
Amanda,Boston ,1986-09-27,1,18,
Jumpin Jack Flash,Aretha Franklin ,1986-09-27,21,11,
Freedom Overspill,Steve Winwood ,1986-09-27,20,15,
Walk Like An Egyptian,Bangles ,1986-09-27,1,23,
Goin Crazy!,David Lee Roth ,1986-09-27,66,7,
(Forever) Live And Die,Orchestral Manoeuvres In The Dark ,1986-09-27,19,17,
Count Your Blessings,Ashford ,1986-09-27,84,4,
Who Says,Device ,1986-09-27,79,6,
True Blue,Madonna ,1986-11-01,3,16,
Love Will Conquer All,Lionel Richie ,1986-11-01,9,18,
Hip To Be Square,Huey Lewis ,1986-11-01,3,15,
To Be A Lover,Billy Idol ,1986-11-01,6,18,
Everybody Have Fun Tonight,Wang Chung ,1986-11-01,2,21,
Don't Get Me Wrong,Pretenders ,1986-11-01,10,18,
You Know I Love You ... Don t You?,Howard Jones ,1986-11-01,17,15,
Shake You Down,Gregory Abbott ,1986-11-01,1,22,
C est La Vie,Robbie Nevil ,1986-11-01,2,22,
Where Did Your Heart Go?,Wham! ,1986-11-01,50,8,
Foolish Pride,Daryl Hall ,1986-11-01,33,13,
Lady Soul,The Temptations ,1986-11-01,47,11,
Welcome To The Boomtown,David ,1986-11-01,37,15,
Is This Love,Survivor ,1986-11-01,9,19,
Notorious,Duran Duran ,1986-11-01,2,17,
Heartache All Over The World,Elton John ,1986-11-01,55,8,
Nail It To The Wall,Stacy Lattisaw ,1986-11-01,48,13,
Land Of Confusion,Genesis ,1986-11-01,4,21,
For Tonight,Nancy Martinez ,1986-11-01,32,21,
Love Is Forever,John Berry ,1986-11-01,16,16,
Don t Stand So Close To Me 86,The Police ,1986-11-01,46,9,
Victory,Kool ,1986-11-01,10,17,
Control,Janet Jackson ,1986-11-01,5,18,
"The Future s So Bright, I Gotta Wear Shades",Timbuk 3 ,1986-11-01,19,15,
Crazay,Jesse Johnson (Featuring Sly Stone) ,1986-11-01,53,16,
You Be Illin ,Run-D.M.C. ,1986-11-01,29,17,
More Than Physical,Bananarama ,1986-11-01,73,5,
All I Wanted,Kansas ,1986-11-01,19,18,
Someday,Glass Tiger ,1986-11-01,7,21,
Good Music,Joan Jett And The Blackhearts ,1986-11-01,83,6,
Goldmine,The Pointer Sisters ,1986-11-01,33,13,
This Love,Bad Company ,1986-11-01,85,5,
When The Rain Comes Down,Andy Taylor ,1986-11-01,73,6,
Like Flames,Berlin ,1986-11-01,82,5,
Touch Me (I Want Your Body),Samantha Fox ,1986-11-01,4,23,
Falling In Love (Uh-Oh),Gloria Estefan ,1986-11-01,25,15,
Coming Around Again,Carly Simon ,1986-11-01,18,17,
Goin To The Bank,Commodores ,1986-11-01,65,11,
Love Is The Hero,Billy Squier ,1986-11-01,80,5,
Talk To Me,Chico DeBarge ,1986-11-15,21,20,
Stay The Night,Benjamin Orr ,1986-11-15,24,20,
Tasty Love,Freddie Jackson ,1986-11-15,41,12,
This Is The Time,Billy Joel ,1986-11-15,18,17,
At This Moment,Billy Vera ,1986-11-15,1,20,
Will You Still Love Me?,Chicago ,1986-11-15,3,23,
Stop To Love,Luther Vandross ,1986-11-15,15,19,
Miami,Bob Seger ,1986-11-15,70,9,
Love In Siberia,Laban ,1986-11-15,88,4,
Nobody s Fool,Cinderella ,1986-11-15,13,20,
I m For Real,Howard Hewett ,1986-11-15,90,3,
Thorn In My Side,Eurythmics ,1986-11-15,68,9,
You Got It All,The Jets ,1986-11-15,3,26,
Some People,Paul Young ,1986-11-15,65,10,
Stranglehold,Paul McCartney ,1986-11-15,81,6,
I Want To Make The World Turn Around,Steve Miller Band ,1986-11-15,97,3,
War,Bruce Springsteen ,1986-11-29,8,12,
Two People,Tina Turner ,1986-11-29,30,12,
Change Of Heart,Cyndi Lauper ,1986-11-29,3,17,
Heartache Away,Don Johnson ,1986-11-29,56,11,
Love You Down,Ready For The World ,1986-11-29,9,19,
Keep Your Hands To Yourself,The Georgia Satellites ,1986-11-29,2,20,
Every Beat Of My Heart,Rod Stewart ,1986-11-29,83,6,
That s Life,David Lee Roth ,1986-11-29,85,4,
Big Time,Peter Gabriel ,1986-11-29,8,23,
French Kissin,Debbie Harry ,1986-11-29,57,11,
Brand New Lover,Dead Or Alive ,1986-11-29,15,22,
Caught Up In The Rapture,Anita Baker ,1986-11-29,37,18,
"It s Not You, It s Not Me",KBC Band ,1986-11-29,89,4,
I m Not Perfect (But I m Perfect For You),Grace Jones ,1986-11-29,70,8,
The Best Man In The World,Ann Wilson ,1986-11-29,61,12,
Open Your Heart,Madonna ,1986-12-06,1,18,
We re Ready,Boston ,1986-12-06,9,14,
Ballerina Girl,Lionel Richie ,1986-12-06,7,18,
I ll Be Alright Without You,Journey ,1986-12-06,14,20,
I Need Your Loving,The Human League ,1986-12-06,44,11,
Graceland,Paul Simon ,1986-12-06,81,7,
Jimmy Lee,Aretha Franklin ,1986-12-06,28,13,
Facts Of Love,Jeff Lorber ,1986-12-06,27,15,
Suburbia,Pet Shop Boys ,1986-12-06,70,10,
Livin On A Prayer,Bon Jovi ,1986-12-20,1,20,
Can t Help Falling In Love,Corey Hart ,1986-12-20,24,13,
I Wanna Go Back,Eddie Money ,1986-12-20,14,21,
Girlfriend,Bobby Brown ,1986-12-20,57,9,
We Connect,Stacey Q ,1986-12-20,35,19,
"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt ,1986-12-20,2,21,
(You Gotta) Fight For Your Right (To Party!),Beastie Boys ,1986-12-20,7,18,
This Is The World Calling,Bob Geldof ,1986-12-20,82,6,
Blame It On The Radio,John Parr ,1986-12-20,88,6,
Dancin In My Sleep,Secret Ties ,1986-12-20,91,4,
True To You,Ric Ocasek ,1986-12-20,75,8,
Without Your Love,Toto ,1986-12-27,38,11,
Candy,Cameo ,1986-12-27,21,17,
Don't Leave Me This Way,The Communards ,1986-12-27,40,13,
Someone,El DeBarge ,1986-12-27,70,9,
(I Know) I m Losing You,Uptown ,1986-12-27,80,10,
A Trick Of The Night,Bananarama ,1986-12-27,76,7,
If I Say Yes,Five Star ,1986-12-27,67,11,
Jacob s Ladder,Huey Lewis ,1987-01-31,1,15,
Respect Yourself,Bruce Willis ,1987-01-31,5,14,
Mandolin Rain,Bruce Hornsby ,1987-01-31,4,18,
Let s Wait Awhile,Janet Jackson ,1987-01-31,2,19,
Let s Go!,Wang Chung ,1987-01-31,9,18,
As We Lay,Shirley Murdock ,1987-01-31,23,18,
Come Go With Me,Expose ,1987-01-31,5,19,
Don t Dream It s Over,Crowded House ,1987-01-31,2,24,
Don t Need A Gun,Billy Idol ,1987-01-31,37,9,
The Final Countdown,Europe ,1987-01-31,8,18,
Nothing s Gonna Stop Us Now,Starship ,1987-01-31,1,22,
Shelter,Lone Justice ,1987-01-31,47,12,
Coming Up Close,Til Tuesday ,1987-01-31,59,9,
That Ain t Love,REO Speedwagon ,1987-01-31,16,14,
Someone Like You,Daryl Hall ,1987-01-31,57,8,
Hooked On You,Sweet Sensation ,1987-01-31,23,28,
Cry Wolf,A-Ha ,1987-01-31,50,10,
Big Mistake,Peter Cetera ,1987-01-31,61,6,
Fire,Bruce Springsteen ,1987-01-31,46,8,
Midnight Blue,Lou Gramm ,1987-01-31,5,20,
Skin Trade,Duran Duran ,1987-01-31,39,9,
The Honeythief,Hipsway ,1987-01-31,19,15,
All I Want,Howard Jones ,1987-01-31,76,5,
Ain t So Easy,David ,1987-01-31,51,11,
Deep River Woman,Lionel Richie ,1987-01-31,71,8,
"Summertime, Summertime",Nocera ,1987-01-31,84,7,
Kiss You (When It s Dangerous),Eight Seconds ,1987-01-31,72,8,
Ronnies Rapp,Ron And The D.C. Crew ,1987-01-31,93,4,
"Tonight, Tonight, Tonight",Genesis ,1987-02-14,3,15,
Lean On Me,Club Nouveau ,1987-02-14,1,17,
What You Get Is What You See,Tina Turner ,1987-02-14,13,14,
The Finer Things,Steve Winwood ,1987-02-14,8,23,
My Baby,Pretenders ,1987-02-14,64,7,
Stone Love,Kool ,1987-02-14,10,18,
Have You Ever Loved Somebody,Freddie Jackson ,1987-02-14,69,9,
Smoking Gun,The Robert Cray Band ,1987-02-14,22,14,
Hold Me,Sheila E ,1987-02-14,68,10,
Winner Takes It All,Sammy Hagar ,1987-02-14,54,14,
Make It Mean Something,Rob Jungklas ,1987-02-14,86,3,
The Lady In Red,Chris De Burgh ,1987-02-14,3,26,
Dominoes,Robbie Nevil ,1987-02-14,14,16,
Nothing s Gonna Change My Love For You,Glenn Medeiros ,1987-02-14,12,25,
Serious,Donna Allen ,1987-02-14,21,18,
Power,Kansas ,1987-02-14,84,4,
Walking Down Your Street,Bangles ,1987-02-14,11,16,
Ship Of Fools (Save Me From Tomorrow),World Party ,1987-02-14,27,15,
I Knew You Were Waiting (For Me),Aretha Franklin ,1987-02-21,1,17,
How Much Love,Survivor ,1987-02-21,51,9,
I Got The Feelin (It s Over),Gregory Abbott ,1987-02-21,56,11,
Light Of Day,The Barbusters (Joan Jett And The Blackhearts) ,1987-02-21,33,11,
Dance,Ratt ,1987-02-21,59,9,
All I Know Is The Way I Feel,The Pointer Sisters ,1987-02-21,93,2,
Showing Out (Get Fresh At The Weekend),Mel ,1987-02-21,78,7,
Come As You Are,Peter Wolf ,1987-02-28,15,15,
I Will Be There,Glass Tiger ,1987-02-28,34,11,
Sexappeal,Georgio ,1987-02-28,58,9,
Show Me,The Cover Girls ,1987-02-28,44,18,
Never Enough,Patty Smyth ,1987-02-28,61,11,
